Cluster_Representative,Protein,Cluster_Annotation,Information_Level
YP_009199978.1,YP_009224732.1,portal protein,High
YP_009199978.1,AGR89459.1,portal protein,High
YP_009199978.1,ADF58238.1,portal protein,High
YP_009199978.1,CEF89355.1,portal protein,High
YP_009200037.1,YP_009200037.1,exonuclease V,High
YP_009200037.1,ADD65053.1,exonuclease V,High
YP_009200037.1,AEK21627.1,exonuclease V,High
YP_009200082.1,YP_009200082.1,collagen like minor tail,High
YP_009200082.1,AEK21667.1,collagen like minor tail,High
YP_009200082.1,AGR89213.1,collagen like minor tail,High
YP_009200082.1,CEF89458.1,collagen like minor tail,High
YP_009200082.1,YP_009187031.1,collagen like minor tail,High
YP_009200082.1,CCM43677.1,collagen like minor tail,High
YP_009200083.1,YP_009200083.1,tail fiber protein,High
YP_009200083.1,ADD65092.1,tail fiber protein,High
YP_009200083.1,AEK21668.1,tail fiber protein,High
YP_009200083.1,CEF89459.1,tail fiber protein,High
YP_009200083.1,YP_009187032.1,tail fiber protein,High
YP_009200083.1,AGR89390.1,tail fiber protein,High
YP_009200083.1,ADF58141.1,tail fiber protein,High
YP_009205629.1,YP_009205629.1,minor head protein,High
YP_009205642.1,YP_009205642.1,tail length tape measure protein,High
YP_009205642.1,YP_001293454.1,tail length tape measure protein,High
YP_009205642.1,AFB83341.1,tail length tape measure protein,High
YP_009205642.1,CDN96808.1,tail length tape measure protein,High
YP_009205982.1,YP_009205982.1,Ead/Ea22-like family protein,High
YP_009205982.1,BAJ09088.1,Ead/Ea22-like family protein,High
YP_009205999.1,YP_009205999.1,terminase small subunit,High
YP_009205999.1,CEF89529.1,terminase small subunit,High
YP_009205999.1,ADX32162.1,terminase small subunit,High
YP_009206003.1,YP_009206003.1,head maturation protease,High
YP_009206003.1,AGS81736.1,head maturation protease,High
YP_009206003.1,BAJ09107.1,head maturation protease,High
YP_009206003.1,CEF89149.1,head maturation protease,High
YP_009206003.1,CEF89533.1,head maturation protease,High
YP_009206003.1,AGR89107.1,head maturation protease,High
YP_009206055.1,YP_009206055.1,MazG-like pyrophosphatase,High
YP_009206055.1,AGR88998.1,MazG-like pyrophosphatase,High
YP_009206055.1,BAJ09159.1,MazG-like pyrophosphatase,High
YP_009206055.1,ADX32049.1,MazG-like pyrophosphatase,High
YP_009206055.1,CEF89204.1,MazG-like pyrophosphatase,High
YP_009206232.1,YP_009206232.1,head fiber protein,High
YP_009206232.1,AIZ94996.1,head fiber protein,High
YP_009206232.1,CAZ66319.1,head fiber protein,High
YP_009206232.1,AKC04786.1,head fiber protein,High
YP_009206232.1,AIZ94813.1,head fiber protein,High
YP_009206232.1,CDN96871.1,head fiber protein,High
YP_009215755.1,YP_009215755.1,Type II toxin-antitoxin system HicA family toxin,High
YP_009215755.1,YP_001294577.1,Type II toxin-antitoxin system HicA family toxin,High
YP_009215755.1,CAO77782.1,Type II toxin-antitoxin system HicA family toxin,High
YP_009215767.1,YP_009215767.1,tRNA nucleotidyltransferase,High
YP_009215767.1,YP_001294589.1,tRNA nucleotidyltransferase,High
YP_009215767.1,CAO77794.1,tRNA nucleotidyltransferase,High
YP_009215767.1,AFN 39610,tRNA nucleotidyltransferase,High
YP_009215769.1,YP_009215769.1,HNH endonuclease,High
YP_009215769.1,CAO77795.1,HNH endonuclease,High
YP_009215769.1,AFN 39611,HNH endonuclease,High
YP_009218955.1,YP_009218955.1,Arc-like repressor,High
YP_009219030.1,YP_009219030.1,transcriptional regulator,High
YP_009219030.1,CAZ66182.1,transcriptional regulator,High
YP_009219048.1,YP_009219048.1,Phage tail protein,High
YP_009219048.1,CAZ66199.1,Phage tail protein,High
YP_009222608.1,YP_009222608.1,ParB C-terminal domain,High
YP_009222633.1,YP_009222633.1,nucleotide kinase,High
YP_009222633.1,YP_009276066.1,nucleotide kinase,High
YP_009222723.1,YP_009222723.1,Mu Gam-like end protection,High
YP_009224854.1,YP_009224854.1,RIIB lysis inhibitor,High
YP_009224854.1,AEK21686.1,RIIB lysis inhibitor,High
YP_009224854.1,CEF89478.1,RIIB lysis inhibitor,High
YP_009273709.1,YP_009273709.1,HK97 gp10 family phage protein,Quasi
YP_009273709.1,AEX55854.1,HK97 gp10 family phage protein,Quasi
YP_009273709.1,IMGVR_UViG_2579778972_000003|2579778972|2579836614_50,HK97 gp10 family phage protein,Quasi
YP_009273709.1,AFQ22033.1,HK97 gp10 family phage protein,Quasi
YP_009274599.1,YP_009274599.1,Uncharacterized protein,Low
YP_009274599.1,YP_009273636.1,Uncharacterized protein,Low
YP_009274599.1,AFQ21980.1,Uncharacterized protein,Low
YP_009274599.1,AEY99466.1,Uncharacterized protein,Low
YP_009274599.1,NP_938219.1,Uncharacterized protein,Low
YP_009274599.1,AFE86441.1,Uncharacterized protein,Low
YP_009274599.1,ADU15503.1,Uncharacterized protein,Low
YP_009274599.1,AFQ21808.1,Uncharacterized protein,Low
YP_009274599.1,IMGVR_UViG_2540341042_000004|2540341042|2540346462_11,Uncharacterized protein,Low
YP_009274599.1,IMGVR_UViG_2507262024_000002|2507262024|2507276176_48,Uncharacterized protein,Low
YP_009274599.1,CEF89940.1,Uncharacterized protein,Low
YP_009274599.1,AEY99397.1,Uncharacterized protein,Low
YP_009274599.1,IMGVR_UViG_2671180414_000002|2671180414|2671225344_45,Uncharacterized protein,Low
YP_009274599.1,ACA57708.1,Uncharacterized protein,Low
YP_009274599.1,CCD58423.1,Uncharacterized protein,Low
YP_009274599.1,AII21892.1,Uncharacterized protein,Low
YP_009274599.1,AHV82265.1,Uncharacterized protein,Low
YP_009274599.1,AIM40294.1,Uncharacterized protein,Low
YP_009274599.1,AFQ21866.1,Uncharacterized protein,Low
YP_009275514.1,YP_009275514.1,Gp11,High
YP_009275514.1,IMGVR_UViG_2579778972_000003|2579778972|2579836614_48,Gp11,High
YP_009275514.1,AEX55852.1,Gp11,High
YP_009275514.1,AFQ22036.1,Gp11,High
YP_009275514.1,IMGVR_UViG_2579778822_000001|2579778822|2579820949_57,Gp11,High
YP_009275532.1,YP_009275532.1,DarB-like antirestriction,High
YP_009275532.1,IMGVR_UViG_2579778822_000001|2579778822|2579820949_74,DarB-like antirestriction,High
YP_009275532.1,TemPhD_cluster_13835_1,DarB-like antirestriction,High
YP_009275532.1,IMGVR_UViG_2507262021_000002|2507262021|2507273743_102,DarB-like antirestriction,High
YP_009275532.1,AAF80794.2,DarB-like antirestriction,High
YP_009275532.1,IMGVR_UViG_2579778972_000003|2579778972|2579836614_66,DarB-like antirestriction,High
YP_009275532.1,AEX55869.1,DarB-like antirestriction,High
YP_009275532.1,AFQ22092.1,DarB-like antirestriction,High
YP_009275532.1,YP_009187433.1,DarB-like antirestriction,High
YP_009275532.1,BAG75014.1,DarB-like antirestriction,High
YP_009275542.1,YP_009275542.1,single strand DNA binding protein,High
YP_009275542.1,AEX55915.1,single strand DNA binding protein,High
YP_009275542.1,IMGVR_UViG_2579778953_000002|2579778953|2579834327_68,single strand DNA binding protein,High
YP_009275558.1,YP_009275558.1,FtsK/SpoIIIE-like protein,High
YP_009275558.1,YP_009007112.1,FtsK/SpoIIIE-like protein,High
YP_009275562.1,YP_009275562.1,ATP-dependent DNA ligase,High
YP_009275562.1,YP_009273741.1,ATP-dependent DNA ligase,High
YP_009275562.1,AEX55824.1,ATP-dependent DNA ligase,High
YP_009275562.1,AFQ22065.1,ATP-dependent DNA ligase,High
YP_009275639.1,YP_009275639.1,Uncharacterized protein,Low
YP_009275639.1,TemPhD_cluster_14034_61,Uncharacterized protein,Low
YP_009275639.1,AEX55806.1,Uncharacterized protein,Low
YP_009275639.1,TemPhD_cluster_11622_9,Uncharacterized protein,Low
YP_009275639.1,TemPhD_cluster_13851_8,Uncharacterized protein,Low
YP_009275639.1,IMGVR_UViG_2579778953_000002|2579778953|2579834327_63,Uncharacterized protein,Low
YP_009275639.1,TemPhD_cluster_15971_57,Uncharacterized protein,Low
YP_009275684.1,YP_009275684.1,minor tail protein,High
YP_009275684.1,YP_001293368.1,minor tail protein,High
YP_009275684.1,IMGVR_UViG_2579778953_000002|2579778953|2579834327_5,minor tail protein,High
YP_009275684.1,IMGVR_UViG_2675903584_000002|2675903584|2675992007_4,minor tail protein,High
YP_009275684.1,IMGVR_UViG_2551306212_000004|2551306212|2551364953_5,minor tail protein,High
YP_009275684.1,IMGVR_UViG_2671180382_000002|2671180382|2671219381_68,minor tail protein,High
YP_009275684.1,IMGVR_UViG_2579778822_000002|2579778822|2579820951_44,minor tail protein,High
YP_009275684.1,IMGVR_UViG_2579778558_000002|2579778558|2579784817_4,minor tail protein,High
YP_009275684.1,IMGVR_UViG_2571042676_000002|2571042676|2571136776_10,minor tail protein,High
YP_009275684.1,IMGVR_UViG_2507262019_000003|2507262019|2507271997_65,minor tail protein,High
YP_009275967.1,YP_009275967.1,HNH endonuclease,High
YP_009275971.1,YP_009275971.1,virion structural protein,High
YP_009275971.1,YP_009222719.1,virion structural protein,High
YP_009276036.1,YP_009276036.1,single strand DNA binding protein,High
YP_009276036.1,YP_009222661.1,single strand DNA binding protein,High
YP_009276085.1,YP_009276085.1,ParB C-terminal domain,High
YP_009966995.1,YP_009966995.1,portal protein,High
YP_009966995.1,AHH02937.1,portal protein,High
YP_009966995.1,YP_009193730.1,portal protein,High
YP_024764.1,YP_024764.1,Sak4-like ssDNA annealing protein,High
YP_024779.1,YP_024779.1,enoyl-CoA hydratase/carnithine racemase-like,High
YP_164269.1,YP_164269.1,DNA repair protein,High
YP_164269.1,IMGVR_UViG_2579778972_000003|2579778972|2579836614_4,DNA repair protein,High
YP_164296.1,YP_164296.1,replication initiation O-like,High
YP_164296.1,AGC34644.1,replication initiation O-like,High
YP_164312.1,YP_164312.1,Head decoration protein,High
YP_164312.1,AGC34659.1,Head decoration protein,High
YP_164320.1,YP_164320.1,Phage tail protein,High
YP_164320.1,AGC34666.1,Phage tail protein,High
YP_164330.1,YP_164330.1,portal protein,High
YP_164330.1,AGC34675.1,portal protein,High
YP_950458.1,YP_950458.1,tail protein,High
YP_950458.1,AFQ21897.1,tail protein,High
YP_950458.1,AFE86465.1,tail protein,High
biochar_1098_44,biochar_1098_44,Tail protein,High
biochar_1098_44,biochar_4873_5,Tail protein,High
biochar_1098_44,biochar_3180_15,Tail protein,High
biochar_1127_33,biochar_1127_33,Glycosyltransferase family 25 (LPS biosynthesis protein),High
biochar_1127_33,biochar_1808_24,Glycosyltransferase family 25 (LPS biosynthesis protein),High
biochar_1127_33,biochar_1062_11,Glycosyltransferase family 25 (LPS biosynthesis protein),High
biochar_521_46,biochar_521_46,Phage related protein,High
biochar_521_46,biochar_523_1,Phage related protein,High
biochar_521_46,biochar_523_60,Phage related protein,High
biochar_6117_7,biochar_6117_7,Capsid assembly protein,High
biochar_6117_7,biochar_865_40,Capsid assembly protein,High
biochar_6117_7,biochar_899_57,Capsid assembly protein,High
biochar_967_24,biochar_967_24,Bacterial repeat domain-containing protein,Quasi
biochar_967_24,biochar_1387_34,Bacterial repeat domain-containing protein,Quasi
biochar_967_24,biochar_5025_15,Bacterial repeat domain-containing protein,Quasi
biochar_967_24,biochar_5034_15,Bacterial repeat domain-containing protein,Quasi
biochar_994_5,biochar_994_5,Phage protein,Quasi
biochar_994_5,biochar_964_51,Phage protein,Quasi
biochar_994_5,biochar_918_7,Phage protein,Quasi
biochar_994_5,biochar_2273_8,Phage protein,Quasi
biochar_1787_2,biochar_1787_2,Tail protein,High
biochar_1787_2,biochar_1971_6,Tail protein,High
biochar_1787_2,biochar_600_80,Tail protein,High
biochar_1881_30,biochar_1881_30,Gp03,High
biochar_1881_30,biochar_5596_29,Gp03,High
biochar_1881_30,biochar_1951_1,Gp03,High
biochar_2411_7,biochar_2411_7,10 kDa chaperonin,High
biochar_2411_7,biochar_1494_29,10 kDa chaperonin,High
biochar_2411_7,biochar_1421_34,10 kDa chaperonin,High
biochar_3252_14,biochar_3252_14,Arrestin-like N-terminal domain-containing protein,Quasi
biochar_3252_14,biochar_4333_22,Arrestin-like N-terminal domain-containing protein,Quasi
biochar_3252_14,biochar_1885_28,Arrestin-like N-terminal domain-containing protein,Quasi
biochar_3290_12,biochar_3290_12,Portal protein,High
biochar_3290_12,biochar_2420_13,Portal protein,High
biochar_3290_12,biochar_2594_6,Portal protein,High
biochar_3290_12,biochar_2033_8,Portal protein,High
TemPhD_cluster_14034_12,TemPhD_cluster_14034_12,Phage tail protein,High
TemPhD_cluster_14034_12,IMGVR_UViG_2524614738_000003|2524614738|2524688769_59,Phage tail protein,High
TemPhD_cluster_14034_12,IMGVR_UViG_2507262019_000003|2507262019|2507271997_59,Phage tail protein,High
TemPhD_cluster_14034_12,1332540369,Phage tail protein,High
TemPhD_cluster_14034_12,TemPhD_cluster_12950_56,Phage tail protein,High
TemPhD_cluster_14034_12,723006726,Phage tail protein,High
biochar_3179_1,biochar_3179_1,AAA+ ATPase domain-containing protein,Quasi
biochar_3179_1,biochar_2394_23,AAA+ ATPase domain-containing protein,Quasi
biochar_3179_1,biochar_4479_16,AAA+ ATPase domain-containing protein,Quasi
biochar_1387_32,biochar_1387_32,Rieske domain-containing protein,Quasi
biochar_1387_32,biochar_967_22,Rieske domain-containing protein,Quasi
biochar_1387_32,biochar_5034_13,Rieske domain-containing protein,Quasi
TemPhD_cluster_11901_34,TemPhD_cluster_11901_34,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2524614738_000003|2524614738|2524688769_35,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2571042676_000002|2571042676|2571136776_41,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2671180382_000002|2671180382|2671219381_38,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2617271009_000002|2617271009|2617327129_32,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2675903584_000002|2675903584|2675992007_35,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2576861223_000001|2576861223|2576877802_34,integrase,High
TemPhD_cluster_11901_34,YP_001293401.1,integrase,High
TemPhD_cluster_11901_34,TemPhD_cluster_12950_32,integrase,High
biochar_1711_4,biochar_1711_4,YprB ribonuclease H-like domain-containing protein,Quasi
biochar_1711_4,biochar_5461_7,YprB ribonuclease H-like domain-containing protein,Quasi
biochar_1711_4,biochar_1271_42,YprB ribonuclease H-like domain-containing protein,Quasi
biochar_336_8,biochar_336_8,partition protein ATPase,High
biochar_336_8,biochar_107_97,partition protein ATPase,High
biochar_336_8,biochar_107_1,partition protein ATPase,High
biochar_5435_8,biochar_5435_8,RHS repeat protein,High
biochar_5435_8,biochar_3679_7,RHS repeat protein,High
biochar_5435_8,biochar_582_48,RHS repeat protein,High
biochar_5586_14,biochar_5586_14,Tip attachment protein J domain-containing protein,Quasi
biochar_5586_14,biochar_2126_2,Tip attachment protein J domain-containing protein,Quasi
biochar_5586_14,biochar_2057_21,Tip attachment protein J domain-containing protein,Quasi
biochar_5759_11,biochar_5759_11,Uncharacterized protein,Low
biochar_5759_11,biochar_367_73,Uncharacterized protein,Low
biochar_5759_11,biochar_2014_12,Uncharacterized protein,Low
biochar_2768_15,biochar_2768_15,DUF2815 family protein,Quasi
biochar_2768_15,biochar_2514_7,DUF2815 family protein,Quasi
biochar_2768_15,biochar_1750_33,DUF2815 family protein,Quasi
biochar_585_56,biochar_585_56,Tail tubular protein,High
biochar_585_56,biochar_578_85,Tail tubular protein,High
biochar_585_56,biochar_578_1,Tail tubular protein,High
biochar_964_48,biochar_964_48,Phage tail protein,High
biochar_964_48,biochar_918_10,Phage tail protein,High
biochar_964_48,biochar_2273_5,Phage tail protein,High
biochar_4423_7,biochar_4423_7,Anaphase-promoting complex subunit 4-like WD40 domain-containing protein,Quasi
biochar_4423_7,biochar_5719_1,Anaphase-promoting complex subunit 4-like WD40 domain-containing protein,Quasi
biochar_4423_7,biochar_2734_29,Anaphase-promoting complex subunit 4-like WD40 domain-containing protein,Quasi
biochar_2092_18,biochar_2092_18,Large terminase protein,High
biochar_2092_18,biochar_2409_24,Large terminase protein,High
biochar_2092_18,biochar_1212_17,Large terminase protein,High
biochar_314_93,biochar_314_93,Unannotated protein,High
biochar_314_93,biochar_715_67,Unannotated protein,High
biochar_314_93,biochar_314_1,Unannotated protein,High
biochar_1387_28,biochar_1387_28,Phage tail protein,High
biochar_1387_28,biochar_967_18,Phage tail protein,High
biochar_1387_28,biochar_5034_9,Phage tail protein,High
TemPhD_cluster_13835_50,TemPhD_cluster_13835_50,terminase large subunit,High
TemPhD_cluster_13835_50,AEX55819.1,terminase large subunit,High
TemPhD_cluster_13835_50,AAF80814.1,terminase large subunit,High
TemPhD_cluster_13835_50,AFQ22071.1,terminase large subunit,High
biochar_3454_23,biochar_3454_23,Phage-like element PBSX protein XkdF domain-containing protein,Quasi
biochar_3454_23,biochar_1565_28,Phage-like element PBSX protein XkdF domain-containing protein,Quasi
biochar_3454_23,biochar_2989_10,Phage-like element PBSX protein XkdF domain-containing protein,Quasi
biochar_2496_11,biochar_2496_11,Lysozyme (EC 3.2.1.17),High
biochar_2496_11,biochar_5333_1,Lysozyme (EC 3.2.1.17),High
biochar_2496_11,biochar_3395_12,Lysozyme (EC 3.2.1.17),High
biochar_2646_15,biochar_2646_15,Glycosyltransferase,High
biochar_2646_15,biochar_764_1,Glycosyltransferase,High
biochar_2646_15,biochar_764_57,Glycosyltransferase,High
biochar_187_34,biochar_187_34,tail spike protein,High
biochar_187_34,biochar_194_1,tail spike protein,High
biochar_187_34,biochar_194_80,tail spike protein,High
biochar_203_7,biochar_203_7,"20 kDa chaperonin, chloroplastic",High
biochar_203_7,biochar_206_89,"20 kDa chaperonin, chloroplastic",High
biochar_203_7,biochar_206_1,"20 kDa chaperonin, chloroplastic",High
biochar_918_71,biochar_918_71,Phage protein,Quasi
biochar_918_71,biochar_2273_15,Phage protein,Quasi
biochar_918_71,biochar_994_12,Phage protein,Quasi
biochar_2626_1,biochar_2626_1,ferredoxin,High
biochar_2626_1,biochar_3542_2,ferredoxin,High
biochar_2626_1,biochar_3716_6,ferredoxin,High
biochar_2280_11,biochar_2280_11,Lipid/polyisoprenoid-binding YceI-like domain-containing protein,Quasi
biochar_2280_11,biochar_881_17,Lipid/polyisoprenoid-binding YceI-like domain-containing protein,Quasi
biochar_2280_11,biochar_897_20,Lipid/polyisoprenoid-binding YceI-like domain-containing protein,Quasi
biochar_2280_11,biochar_3847_17,Lipid/polyisoprenoid-binding YceI-like domain-containing protein,Quasi
biochar_2420_5,biochar_2420_5,F5/8 type C domain-containing protein,Quasi
biochar_2420_5,biochar_2033_14,F5/8 type C domain-containing protein,Quasi
biochar_2420_5,biochar_2594_13,F5/8 type C domain-containing protein,Quasi
biochar_2420_5,biochar_3290_6,F5/8 type C domain-containing protein,Quasi
biochar_4899_11,biochar_4899_11,Glycosyltransferase family 9 protein,High
biochar_4899_11,biochar_3214_25,Glycosyltransferase family 9 protein,High
biochar_4899_11,biochar_4732_16,Glycosyltransferase family 9 protein,High
biochar_60_26,biochar_60_26,integrase,High
biochar_60_26,biochar_58_1,integrase,High
biochar_60_26,biochar_58_83,integrase,High
biochar_226_41,biochar_226_41,head scaffolding protein,High
biochar_226_41,biochar_90_1,head scaffolding protein,High
biochar_226_41,biochar_90_95,head scaffolding protein,High
biochar_435_41,biochar_435_41,Terminase,High
biochar_435_41,biochar_437_1,Terminase,High
biochar_435_41,biochar_437_53,Terminase,High
biochar_865_43,biochar_865_43,Uncharacterized protein,Low
biochar_865_43,biochar_6117_4,Uncharacterized protein,Low
biochar_865_43,biochar_899_60,Uncharacterized protein,Low
biochar_4395_11,biochar_4395_11,Phage tail tape measure protein,High
biochar_4395_11,biochar_3496_13,Phage tail tape measure protein,High
biochar_4395_11,biochar_4484_11,Phage tail tape measure protein,High
biochar_4395_11,biochar_4371_18,Phage tail tape measure protein,High
biochar_4395_11,biochar_4025_1,Phage tail tape measure protein,High
biochar_4453_16,biochar_4453_16,Recombinase zinc beta ribbon domain-containing protein,Quasi
biochar_4453_16,biochar_315_44,Recombinase zinc beta ribbon domain-containing protein,Quasi
biochar_4453_16,biochar_293_79,Recombinase zinc beta ribbon domain-containing protein,Quasi
biochar_4453_16,biochar_5749_21,Recombinase zinc beta ribbon domain-containing protein,Quasi
biochar_600_10,biochar_600_10,glycosyltransferase,High
biochar_600_10,biochar_1971_15,glycosyltransferase,High
biochar_600_10,biochar_1787_13,glycosyltransferase,High
biochar_4968_13,biochar_4968_13,Phage gp6-like head-tail connector protein,High
biochar_4968_13,biochar_103_118,Phage gp6-like head-tail connector protein,High
biochar_4968_13,biochar_103_1,Phage gp6-like head-tail connector protein,High
biochar_3900_25,biochar_3900_25,PE-PGRS family protein,High
biochar_3900_25,biochar_3442_20,PE-PGRS family protein,High
biochar_3900_25,biochar_3032_20,PE-PGRS family protein,High
biochar_463_36,biochar_463_36,head-tail adaptor,High
biochar_463_36,biochar_4597_13,head-tail adaptor,High
biochar_463_36,biochar_1900_33,head-tail adaptor,High
biochar_1293_31,biochar_1293_31,C3H1-type domain-containing protein,Quasi
biochar_1293_31,biochar_3625_24,C3H1-type domain-containing protein,Quasi
biochar_1293_31,biochar_317_2,C3H1-type domain-containing protein,Quasi
biochar_1387_26,biochar_1387_26,DUF397 domain-containing protein,Quasi
biochar_1387_26,biochar_967_16,DUF397 domain-containing protein,Quasi
biochar_1387_26,biochar_5034_7,DUF397 domain-containing protein,Quasi
biochar_1627_24,biochar_1627_24,Polymer-forming cytoskeletal protein,High
biochar_1627_24,biochar_1701_16,Polymer-forming cytoskeletal protein,High
biochar_1627_24,biochar_4553_21,Polymer-forming cytoskeletal protein,High
biochar_918_40,biochar_918_40,VRR-NUC domain-containing protein,Quasi
biochar_918_40,biochar_994_41,VRR-NUC domain-containing protein,Quasi
biochar_918_40,biochar_964_21,VRR-NUC domain-containing protein,Quasi
biochar_2748_13,biochar_2748_13,HNH endonuclease,High
biochar_2748_13,biochar_4556_23,HNH endonuclease,High
biochar_2748_13,biochar_4362_1,HNH endonuclease,High
biochar_4926_4,biochar_4926_4,DUF4402 domain-containing protein,Quasi
biochar_4926_4,biochar_2059_22,DUF4402 domain-containing protein,Quasi
biochar_4926_4,biochar_4628_5,DUF4402 domain-containing protein,Quasi
biochar_4926_4,biochar_2250_7,DUF4402 domain-containing protein,Quasi
biochar_4926_4,biochar_3162_11,DUF4402 domain-containing protein,Quasi
biochar_4964_2,biochar_4964_2,Coil containing protein,High
biochar_4964_2,biochar_2229_15,Coil containing protein,High
biochar_4964_2,biochar_464_12,Coil containing protein,High
biochar_5104_4,biochar_5104_4,Viral coat protein P2 N-terminal domain-containing protein,Quasi
biochar_5104_4,biochar_5324_1,Viral coat protein P2 N-terminal domain-containing protein,Quasi
biochar_5104_4,biochar_5324_24,Viral coat protein P2 N-terminal domain-containing protein,Quasi
biochar_1831_1,biochar_1831_1,Capsid assembly protein,High
biochar_1831_1,biochar_1627_16,Capsid assembly protein,High
biochar_1831_1,biochar_1709_8,Capsid assembly protein,High
biochar_2033_15,biochar_2033_15,N-acetyltransferase,High
biochar_2033_15,biochar_2594_14,N-acetyltransferase,High
biochar_2033_15,biochar_3290_5,N-acetyltransferase,High
biochar_2273_1,biochar_2273_1,Tip attachment protein J domain-containing protein,Quasi
biochar_2273_1,biochar_994_67,Tip attachment protein J domain-containing protein,Quasi
biochar_2273_1,biochar_918_15,Tip attachment protein J domain-containing protein,Quasi
biochar_2273_1,biochar_964_43,Tip attachment protein J domain-containing protein,Quasi
biochar_2010_27,biochar_2010_27,head scaffolding protein,High
biochar_2010_27,biochar_2092_31,head scaffolding protein,High
biochar_2010_27,biochar_1212_27,head scaffolding protein,High
biochar_4333_2,biochar_4333_2,Tail protein,High
biochar_4333_2,biochar_4538_7,Tail protein,High
biochar_4333_2,biochar_1683_48,Tail protein,High
biochar_4333_2,biochar_2201_1,Tail protein,High
biochar_4395_9,biochar_4395_9,ReqiPepy6 Gp37-like protein,High
biochar_4395_9,biochar_4371_16,ReqiPepy6 Gp37-like protein,High
biochar_4395_9,biochar_4484_9,ReqiPepy6 Gp37-like protein,High
biochar_4395_9,biochar_3496_15,ReqiPepy6 Gp37-like protein,High
biochar_4395_9,biochar_4582_19,ReqiPepy6 Gp37-like protein,High
biochar_3773_1,biochar_3773_1,TonB-dependent receptor,High
biochar_3773_1,biochar_2041_15,TonB-dependent receptor,High
biochar_3773_1,biochar_319_39,TonB-dependent receptor,High
biochar_61_1,biochar_61_1,tail protein,High
biochar_61_1,biochar_927_45,tail protein,High
biochar_61_1,biochar_38_86,tail protein,High
biochar_2409_27,biochar_2409_27,Terminase large subunit gp17-like C-terminal domain-containing protein,Quasi
biochar_2409_27,biochar_1212_18,Terminase large subunit gp17-like C-terminal domain-containing protein,Quasi
biochar_2409_27,biochar_2092_19,Terminase large subunit gp17-like C-terminal domain-containing protein,Quasi
biochar_1201_23,biochar_1201_23,PilC beta-propeller domain-containing protein,Quasi
biochar_1201_23,biochar_2168_1,PilC beta-propeller domain-containing protein,Quasi
biochar_1201_23,biochar_3920_1,PilC beta-propeller domain-containing protein,Quasi
biochar_1220_49,biochar_1220_49,Pentapeptide repeat-containing protein,High
biochar_1220_49,biochar_1682_29,Pentapeptide repeat-containing protein,High
biochar_1220_49,biochar_2647_25,Pentapeptide repeat-containing protein,High
TemPhD_cluster_14204_2,TemPhD_cluster_14204_2,Phage tail protein,High
TemPhD_cluster_14204_2,AHV82311.1,Phage tail protein,High
TemPhD_cluster_14204_2,AII21847.1,Phage tail protein,High
TemPhD_cluster_14204_2,ACA57745.1,Phage tail protein,High
TemPhD_cluster_14204_2,YP_007392362.1,Phage tail protein,High
biochar_3322_8,biochar_3322_8,Phage tail protein,High
biochar_3322_8,biochar_919_12,Phage tail protein,High
biochar_3322_8,biochar_1529_11,Phage tail protein,High
biochar_897_17,biochar_897_17,DUF4255 domain-containing protein,Quasi
biochar_897_17,biochar_2280_8,DUF4255 domain-containing protein,Quasi
biochar_897_17,biochar_881_14,DUF4255 domain-containing protein,Quasi
biochar_2996_18,biochar_2996_18,Phage major capsid protein,High
biochar_2996_18,biochar_2510_17,Phage major capsid protein,High
biochar_2996_18,biochar_2265_16,Phage major capsid protein,High
biochar_71_43,biochar_71_43,Minor tail protein,High
biochar_71_43,biochar_73_1,Minor tail protein,High
biochar_71_43,biochar_73_90,Minor tail protein,High
biochar_938_18,biochar_938_18,Right handed beta helix domain-containing protein,Quasi
biochar_938_18,biochar_937_59,Right handed beta helix domain-containing protein,Quasi
biochar_938_18,biochar_937_1,Right handed beta helix domain-containing protein,Quasi
biochar_232_43,biochar_232_43,minor tail protein,High
biochar_232_43,biochar_227_1,minor tail protein,High
biochar_232_43,biochar_227_73,minor tail protein,High
biochar_5301_16,biochar_5301_16,DUF2325 domain-containing protein,Quasi
biochar_5301_16,biochar_4171_16,DUF2325 domain-containing protein,Quasi
biochar_5301_16,biochar_4442_3,DUF2325 domain-containing protein,Quasi
biochar_3042_3,biochar_3042_3,C2H2-type domain-containing protein,Quasi
biochar_3042_3,biochar_4214_2,C2H2-type domain-containing protein,Quasi
biochar_3042_3,biochar_2762_17,C2H2-type domain-containing protein,Quasi
biochar_1727_20,biochar_1727_20,Chemotaxis protein histidine kinase CheA,High
biochar_1727_20,biochar_290_1,Chemotaxis protein histidine kinase CheA,High
biochar_1727_20,biochar_290_92,Chemotaxis protein histidine kinase CheA,High
biochar_16_59,biochar_16_59,tail fiber protein,High
biochar_16_59,biochar_2940_10,tail fiber protein,High
biochar_16_59,biochar_3735_3,tail fiber protein,High
biochar_2667_10,biochar_2667_10,internal virion protein,High
biochar_2667_10,biochar_1568_4,internal virion protein,High
biochar_2667_10,biochar_471_46,internal virion protein,High
